,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
129,985,997,3.0,351.0,6.0,695.0,6039.517277998247,1.0,2101.0,1064.0
130,774,997,3.0,351.0,6.0,695.0,12674.97340213605,1.0,2067.0,1042.0
131,441,997,2.0,351.0,4.0,695.0,4252.680141764609,1.0,3135.0,1575.0
132,211,997,2.0,351.0,4.0,695.0,3517.641595633528,1.0,3436.0,1696.0
133,452,997,5.0,351.0,10.0,695.0,5837.450224439731,1.0,3318.0,1670.0
134,593,997,2.0,351.0,5.0,695.0,7980.269599263684,1.0,3176.0,1601.0
135,334,997,2.0,351.0,4.0,695.0,2004.3648966652468,1.0,1276.0,637.0
136,502,997,4.0,351.0,8.0,695.0,5847.045589416163,1.0,2782.0,1406.0
137,527,997,3.0,351.0,6.0,695.0,6966.915665622631,1.0,1955.0,983.0
138,296,997,3.0,351.0,6.0,695.0,2278.826751053546,1.0,2432.0,1187.0
139,463,997,2.0,351.0,4.0,695.0,6540.841196441217,1.0,3362.0,1693.0
140,194,997,2.0,351.0,4.0,695.0,8949.679791571674,1.0,5315.0,2636.0
141,202,997,2.0,351.0,4.0,695.0,5494.988102222414,1.0,5181.0,2570.0
142,237,997,1.0,351.0,2.0,695.0,3847.2289460169463,1.0,5221.0,2584.0
143,506,997,1.0,351.0,2.0,695.0,4560.87761201727,1.0,1660.0,841.0
144,777,997,1.0,351.0,2.0,695.0,13309.527924106089,1.0,2038.0,1030.0
145,660,997,1.0,351.0,2.0,695.0,9541.305757955102,1.0,2392.0,1209.0
146,651,997,1.0,351.0,2.0,695.0,10183.680162685776,1.0,3140.0,1585.0
147,843,997,1.0,351.0,2.0,695.0,4122.296547183421,1.0,3389.0,1700.0
148,507,997,1.0,351.0,2.0,695.0,4752.255999173322,1.0,1860.0,941.0
149,426,997,1.0,351.0,2.0,695.0,3812.2604595263256,1.0,1288.0,654.0
150,553,997,1.0,351.0,2.0,695.0,9080.59635475226,1.0,2470.0,1241.0
151,405,997,2.0,351.0,4.0,695.0,7761.559820972586,1.0,2712.0,1360.0
152,381,997,2.0,351.0,4.0,695.0,2617.15383161846,1.0,690.0,349.0
153,432,997,1.0,351.0,2.0,695.0,3894.2257339670787,1.0,2211.0,1118.0
